chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,1,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,438098.jpg,0.0,Ferreira Vieira,0.0,False,,u,1,3,0,439,0,2729,3,0.0,0.0,Fábio Vieira,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,665,303,664,303,661,301,665,303,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,139,82,655,295,665,303,632,280,0.0,0.0
100.0,100.0,205651,0,0,-2,2,0,4,1.8,1.8,1,Gabriel,0.8,2,False,,2024-08-25T11:00:05.312580Z,68,205651.jpg,0.7,Fernando de Jesus,0.9,False,,a,1,3,7,57643,139,220501,156,0.1,1.0,G.Jesus,30.0,211,0,0,1,2,0,0,0,4,0,0,0,29,17.8,36.2,64.0,11.7,2,0.80,0.12,0.92,1.77,361,35,258,29,166,33,293,32,,,,,,,0.34,0.0,0.05,0.39,0.75,0.85,32,14,297,37,444,47,213,37,0.85,0.43
100.0,100.0,226597,0,0,1,-1,1,2,3.8,3.8,6,Gabriel,2.8,3,True,,2024-10-27T22:00:05.718030Z,61,226597.jpg,4.2,dos Santos Magalhães,23.4,False,,a,1,3,51,2387044,11937,1398258,1764,0.5,8.4,Gabriel,30.0,1043,2,0,4,11,0,0,0,1,0,0,4,190,260.0,64.7,176.0,50.1,12,1.55,0.50,2.05,11.87,37,11,190,50,52,2,62,10,,,,,,,0.13,0.0,0.04,0.17,1.02,0.95,75,5,98,26,42,4,11,3,1.04,0.35
100.0,100.0,219847,0,0,0,0,1,4,2.0,2.0,0,Kai,1.0,4,False,,2024-11-07T09:00:07.112803Z,80,219847.jpg,4.2,Havertz,11.1,False,,a,1,3,46,2023534,775,2378664,10631,0.1,5.8,Havertz,80.0,990,4,1,3,12,0,0,0,2,0,0,7,169,234.8,137.4,359.0,73.1,11,4.50,1.12,5.62,11.93,59,8,91,4,7,3,23,6,,,,,3.0,,0.41,0.0,0.1,0.51,1.08,1.09,12,4,264,34,45,15,39,9,1.0,0.27
0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,5,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,463748.jpg,0.0,Hein,0.0,False,,u,1,3,0,0,0,3706,5,0.0,0.0,Hein,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,490,54,475,36,437,27,493,54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,633,65,423,47,497,54,551,68,0.0,0.0
100.0,100.0,445122,0,0,0,0,0,2,3.8,3.8,6,Jurriën,2.8,6,False,,2024-10-04T13:30:05.569185Z,55,445122.jpg,3.0,Timber,1.8,False,,a,1,3,30,293284,2915,220654,265,0.5,5.5,J.Timber,152.0,770,0,1,3,7,0,0,0,3,0,0,0,114,117.4,127.1,42.0,28.5,9,0.40,0.36,0.76,8.20,186,74,104,22,213,56,183,51,,,,,,,0.05,0.0,0.04,0.09,0.96,0.82,120,11,95,25,124,33,148,54,1.05,0.35
,,85955,0,0,-2,2,0,3,1.0,1.0,0,Jorge Luiz,0.0,7,False,,,48,85955.jpg,1.0,Frello Filho,0.2,False,,a,1,3,4,19657,32,34959,60,0.0,0.8,Jorginho,106.0,199,0,0,1,1,0,0,0,3,0,0,0,19,4.4,21.6,1.0,2.7,3,0.04,0.24,0.28,1.25,417,205,295,169,384,211,389,194,,,,,,,0.02,0.0,0.11,0.13,0.57,0.45,293,194,595,253,394,194,341,118,1.36,0.45
,,440854,0,0,-2,2,0,2,1.5,1.5,1,Jakub,0.5,8,False,,,48,440854.jpg,0.8,Kiwior,0.2,False,,a,1,3,4,8402,33,17722,31,0.1,0.8,Kiwior,172.0,98,0,0,0,4,0,0,0,0,0,0,0,-1,16.2,1.0,0.0,1.7,0,0.00,0.00,0.00,3.23,368,129,401,140,617,219,408,136,,,,,,,0.0,0.0,0.0,0.0,2.97,3.67,318,38,316,105,431,143,399,145,0.0,0.0
100.0,100.0,444145,0,0,-1,1,1,3,4.0,4.0,0,Gabriel,3.0,9,False,,2024-10-18T16:00:06.884775Z,69,444145.jpg,4.3,Martinelli Silva,3.9,False,,a,1,3,47,591774,1460,522842,3669,0.4,6.8,Martinelli,30.0,678,3,2,3,9,0,0,0,0,0,0,4,160,205.4,169.8,265.0,64.0,8,2.01,1.85,3.86,8.52,75,24,60,48,25,14,38,26,,,,,,,0.27,0.0,0.25,0.52,1.13,1.19,30,17,84,36,37,18,87,26,1.06,0.4
,,499175,0,0,0,0,0,3,3.0,3.0,6,Ethan,2.0,12,False,,,45,499175.jpg,1.8,Nwaneri,0.3,False,,a,1,3,11,44555,849,35100,124,0.4,2.4,Nwaneri,241.0,60,1,0,0,0,0,0,0,0,0,0,0,42,15.8,13.6,20.0,5.0,0,0.15,0.19,0.34,0.23,371,177,323,185,271,150,358,177,,,,,,,0.22,0.0,0.28,0.5,0.34,0.0,434,263,154,65,261,117,296,95,0.0,0.0
